Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Start Date,Venue Country,Match Type,MOM,Year,MOM_Won
0,3.0,1,0,0,0.0,6,lbw,4,v Australia,Melbourne,2011-12-26,Australia,Test,No,2011,0
23,50.0,41,3,0,56.09,6,caught,1,v Australia,Sydney,2012-03-01,Australia,Test,No,2012,0
9,35.0,24,2,0,37.5,6,lbw,3,v Australia,Sydney,2012-03-01,Australia,Test,No,2012,0
44,107.0,81,6,0,54.32,6,caught,1,v Australia,Perth,2012-01-13,Australia,Test,No,2012,0
75,191.0,136,9,0,55.14,6,caught,3,v Australia,Perth,2012-01-13,Australia,Test,No,2012,0
116,237.0,213,11,1,54.46,6,lbw,2,v Australia,Adelaide,2012-01-24,Australia,Test,Yes,2012,1
22,96.0,62,2,0,35.48,6,run out,4,v Australia,Adelaide,2012-01-24,Australia,Test,No,2012,0
58,143.0,107,8,0,54.2,5,caught,1,v New Zealand,Hyderabad (Deccan),2012-08-23,India,Test,No,2012,0
103,284.0,193,14,1,53.36,5,lbw,2,v New Zealand,Bengaluru,2012-08-31,India,Test,Yes,2012,1
51,130.0,82,9,0,62.19,5,not out,4,v New Zealand,Bengaluru,2012-08-31,India,Test,No,2012,0
19,70.0,67,3,0,28.35,5,bowled,1,v England,Ahmedabad,2012-11-15,India,Test,No,2012,0
14,17.0,21,3,0,66.66,3,not out,4,v England,Ahmedabad,2012-11-15,India,Test,No,2012,0
19,65.0,55,3,0,34.54,5,caught,1,v England,Wankhede,2012-11-23,India,Test,No,2012,0
7,16.0,13,1,0,53.84,5,caught,3,v England,Wankhede,2012-11-23,India,Test,No,2012,0
6,31.0,24,1,0,25.0,5,caught,1,v England,Eden Gardens,2012-05-12,India,Test,No,2012,0
20,86.0,60,3,0,33.33,5,caught,3,v England,Eden Gardens,2012-05-12,India,Test,No,2012,0
103,356.0,295,11,0,34.91,5,lbw,2,v England,Nagpur,2012-12-13,India,Test,Yes,2012,1
107,266.0,206,15,1,51.94,5,caught,2,v Australia,Chennai,2013-02-22,India,Test,Yes,2013,1
34,119.0,92,3,0,36.95,5,caught,2,v Australia,Hyderabad (Deccan),2013-02-03,India,Test,No,2013,0
67,157.0,129,7,1,51.93,5,not out,2,v Australia,Mohali,2013-03-14,India,Test,No,2013,0
34,80.0,61,6,0,55.73,3,caught,4,v Australia,Mohali,2013-03-14,India,Test,No,2013,0
1,11.0,8,0,0,12.5,3,lbw,2,v Australia,Delhi,2013-03-22,India,Test,No,2013,0
41,76.0,60,4,0,68.33,3,lbw,4,v Australia,Delhi,2013-03-22,India,Test,No,2013,0
3,13.0,5,0,0,60.0,5,caught,2,v West Indies,Eden Gardens,2013-06-11,India,Test,No,2013,0
57,80.0,78,5,0,73.07,5,caught,2,v West Indies,Wankhede,2013-11-14,India,Test,No,2013,0
119,257.0,181,18,0,65.74,4,caught,1,v South Africa,Johannesburg,2013-12-18,South Africa,Test,Yes,2013,1
96,254.0,193,9,0,49.74,4,caught,3,v South Africa,Johannesburg,2013-12-18,South Africa,Test,No,2013,0
46,114.0,87,5,0,52.87,4,caught,1,v South Africa,Durban,2013-12-26,South Africa,Test,No,2013,0
11,26.0,27,1,0,40.74,4,caught,3,v South Africa,Durban,2013-12-26,South Africa,Test,No,2013,0
4,17.0,13,1,0,30.76,4,caught,2,v New Zealand,Auckland,2014-06-02,New Zealand,Test,No,2014,0
67,131.0,102,12,0,65.68,4,caught,4,v New Zealand,Auckland,2014-06-02,New Zealand,Test,No,2014,0
38,131.0,93,4,0,40.86,5,caught,2,v New Zealand,Wellington,2014-02-14,New Zealand,Test,No,2014,0
105,195.0,135,15,1,77.77,4,not out,4,v New Zealand,Wellington,2014-02-14,New Zealand,Test,Yes,2014,1
1,6.0,8,0,0,12.5,4,caught,1,v England,Nottingham,2014-09-07,England,Test,No,2014,0
8,39.0,29,1,0,27.58,4,lbw,3,v England,Nottingham,2014-09-07,England,Test,No,2014,0
25,39.0,34,4,0,73.52,4,caught,1,v England,Lord's,2014-07-17,England,Test,No,2014,0
0,1.0,1,0,0,0.0,4,bowled,3,v England,Lord's,2014-07-17,England,Test,No,2014,0
39,119.0,75,3,0,52.0,4,caught,2,v England,Southampton,2014-07-27,England,Test,No,2014,0
28,77.0,56,3,0,50.0,4,caught,4,v England,Southampton,2014-07-27,England,Test,No,2014,0
0,3.0,2,0,0,0.0,4,caught,1,v England,Manchester,2014-07-08,England,Test,No,2014,0
7,15.0,11,1,0,63.63,4,caught,3,v England,Manchester,2014-07-08,England,Test,No,2014,0
6,34.0,18,1,0,33.33,4,lbw,1,v England,The Oval,2014-08-15,England,Test,No,2014,0
20,80.0,54,2,0,37.03,4,caught,3,v England,The Oval,2014-08-15,England,Test,No,2014,0
115,267.0,184,12,0,62.5,4,caught,2,v Australia,Adelaide,2014-09-12,Australia,Test,Yes,2014,1
141,279.0,175,16,1,80.57,4,caught,4,v Australia,Adelaide,2014-09-12,Australia,Test,Yes,2014,1
19,50.0,27,1,0,70.37,4,caught,1,v Australia,Brisbane,2014-12-17,Australia,Test,No,2014,0
1,14.0,11,0,0,9.09,4,bowled,3,v Australia,Brisbane,2014-12-17,Australia,Test,No,2014,0
169,380.0,272,18,0,62.13,4,caught,2,v Australia,Melbourne,2014-12-26,Australia,Test,Yes,2014,1
54,134.0,99,7,0,54.54,4,caught,4,v Australia,Melbourne,2014-12-26,Australia,Test,No,2014,0
147,315.0,230,20,0,63.91,4,caught,2,v Australia,Sydney,2015-06-01,Australia,Test,Yes,2015,1
46,123.0,95,3,0,48.42,4,caught,4,v Australia,Sydney,2015-06-01,Australia,Test,No,2015,0
14,17.0,22,2,0,63.63,4,bowled,1,v Bangladesh,Fatullah,2015-10-06,Bangladesh,Test,No,2015,0
103,266.0,191,11,0,53.92,4,lbw,2,v Sri Lanka,Galle,2015-12-08,Sri Lanka,Test,Yes,2015,1
3,14.0,10,0,0,30.0,5,caught,4,v Sri Lanka,Galle,2015-12-08,Sri Lanka,Test,No,2015,0
78,178.0,107,8,1,72.89,4,caught,1,v Sri Lanka,Colombo (PSS),2015-08-20,Sri Lanka,Test,No,2015,0
10,33.0,19,0,0,52.63,4,lbw,3,v Sri Lanka,Colombo (PSS),2015-08-20,Sri Lanka,Test,No,2015,0
18,96.0,60,3,0,30.0,4,caught,1,v Sri Lanka,Colombo (SSC),2015-08-28,Sri Lanka,Test,No,2015,0
